Date,Country,Stock_Index,Stock_Return,Stock_Volatility,Bond_Yield,Bond_Yield_Spread,Bond_Volatility,FX_Rate,FX_Return,FX_Volatility,VIX,Crisis_Label
2020-01-01,USA,1002.4835707650561,0.0,0.0,1.5699677718293001,0.3190780755787739,0.01568253197517533,0.9932482172502561,0.0,0.0,15.047097373254756,0
2020-01-02,USA,1001.7922492592003,-0.06896088135671531,0.0,1.5462316841456385,0.308603850107795,0.01984398255530458,0.9985548132928448,0.5342668580145679,0.0,15.698042309830601,0
2020-01-03,USA,1005.0306919497037,0.3232648977767803,0.0,1.5029815184960087,0.3041360553342165,0.02009008436022223,0.9920758007900004,-0.6488389437009652,0.0,23.821365140448265,0
2020-01-04,USA,1012.6458412317438,0.7577031570316636,0.0,1.4676531611147212,0.28112312342659806,0.02236315172921703,0.9969203847036096,0.4883279997104464,0.0,18.588395863358226,0
2020-01-05,USA,1011.4750743581271,-0.11561464294294725,0.3660712715374954,1.5349111656806795,0.2944344687546625,0.01316570818359587,0.9810638533304621,-1.590551423809205,0.8914360401890555,17.42388943699439,0
2020-01-06,USA,1010.3043895733813,-0.11574034935944919,0.38348692285849445,1.5196742692710874,0.3133548156909989,0.022962836369236655,1.0021329370737293,2.147575172782387,1.406552530485432,29.35712933659995,0
2020-01-07,USA,1018.2004536509182,0.7815529813615083,0.4427362004017771,1.5447596610013865,0.2951396371058237,0.0064780418419861235,1.0000120547536222,-0.21163682398267084,1.3999413812989017,29.529152356556335,0
2020-01-08,USA,1022.0376272966828,0.37685837125742383,0.4432947712051246,1.5317585900840984,0.3154730398893837,0.01685057723818095,0.9918291136893181,-0.8182842422154732,1.4225618453133437,34.735512093997876,0
2020-01-09,USA,1019.690255367008,-0.22967568580460318,0.428687773445839,1.5524776357659666,0.2891730894611293,0.017558630787742276,1.006592456684324,1.4884966362895466,1.5704812989753185,22.531257009189275,0
2020-01-10,USA,1022.4030555849378,0.26604159485208884,0.40524931904593436,1.4732382394219716,0.30471124651817894,0.023166634130356193,1.0093757013762656,0.27650164408240013,1.220307011339323,12.192552730784508,0
2020-01-11,USA,1020.0859671208755,-0.22663160594102888,0.4301967654964816,1.5658697032817164,0.3009363618873917,0.020113154263384347,0.9839244013563102,-2.5214892715619217,1.4769994228667398,18.20999154764373,0
2020-01-12,USA,1017.7573183530242,-0.22827965905890726,0.30359397615932854,1.50987998023462,0.28674203352457805,0.012972184730718567,0.9923727522143378,0.8586382090312878,1.5775187613431219,39.40016389590451,1
2020-01-13,USA,1018.9671297108544,0.11887031770873845,0.23620524185315012,1.6037630436312633,0.31287163568584253,0.015075034370914925,0.992308576502127,-0.0064668958380453894,1.5317844162914982,27.88775725698106,0
2020-01-14,USA,1009.4007284875654,-0.9388331521551185,0.46536030484330726,1.4655406090955216,0.31397118185112993,0.020993400047737035,0.9906009689889114,-0.17208432474048824,1.2953274598869287,31.29211254403061,0
2020-01-15,USA,1000.7761393250003,-0.8544266829971272,0.4533960519688538,1.5867981901582624,0.30583599326346,0.01960466329067722,1.0082947484193174,1.7861661743038457,1.6058177008036703,10.220734888762436,0
2020-01-16,USA,997.9647016787953,-0.28092572711627295,0.4480503104867583,1.5098955391731324,0.2896162114898069,0.017104379451821267,0.998061738612272,-1.0148827833416292,1.0684095516319438,25.546171965475626,0
2020-01-17,USA,992.9005460771233,-0.5074483689806886,0.43271381556877514,1.4674290998192776,0.3151934607547684,0.017595831052440104,0.9973548515868939,-0.07082598180359118,1.024764681216676,11.125859725954093,0
2020-01-18,USA,994.4717827400996,0.15824713453770528,0.4467541823626906,1.475805708297284,0.3283215559811057,0.023480839985796444,0.9799613763559325,-1.7439605575975843,1.3229582236541184,27.07690636274344,0
2020-01-19,USA,989.9316623624935,-0.45653586722154355,0.3695840645430713,1.483982634590284,0.3045115885840901,0.017411537135653927,1.0063541803020923,2.693249405839204,1.869227864092351,37.62312548908226,1
2020-01-20,USA,982.8701438558171,-0.7133339375996863,0.32815312725979057,1.5212082973200958,0.2944825920008909,0.019559543779854634,0.9876074160514653,-1.862839606330204,1.8708793282034024,39.05257391501223,1
2020-01-21,USA,990.1983877004249,0.7455963425502908,0.5991822744571946,1.526141774401775,0.28799738250261164,0.030849682940402714,1.0005993263026633,1.3154933873563617,1.9671536361233295,26.216580261667726,0
2020-01-22,USA,989.0695061979922,-0.11400558882491711,0.566201993322107,1.471314999803071,0.304631613620854,0.012881586815580385,1.002773769379582,0.21731406565637426,1.966355427681534,23.746144157566476,0
2020-01-23,USA,989.4071472214318,0.03413723922574336,0.5559934897788161,1.4987822703869509,0.30411426607116,0.010740786342126708,1.0136065859583865,1.080285195882897,1.6805494859038013,38.35051282745482,1
